itemURL,itemPicture,itemID,itemName,description,price,priceGroup,isExpensive,category,isClothesCat,isSportsCat,isElectronicsCat,isHomeCat,isHobbyCat,isBooksCat,isAccessoryCat,isFunCat,isSmartCat,isToyCat,isKitchenCat,isPersonalCat,random
http://www.coolstuff.se/Skarsaker-Kokshandske,5e26fa99fe67ed5b17d0ef1ec0b735bb.jpg,9,Skärsäker Kökshandske ,Med den skärsäkra handsken slipper du att putsa till fingrarna när du arbetar i köket eller scrapbookar.,139,1,0,Cooking,1,0,0,1,0,0,1,0,1,0,1,0,0.8262938249
http://www.lagerhaus.se/inredning/korg-stitch-marinbla-1,81841523.jpg,32,Korg STITCH turkos,Rund förvaringskorg i bomull. Finns i flera färger och storlekar.,149,1,0,Home,0,0,0,1,0,0,0,0,0,0,0,0,0.8726659389
http://www.coolstuff.se/4D-Stadspussel,1d05a692fc5843a7f4e8b5617a5fe9a9.jpg,46,4D Stadspussel ,"Pussel av de coolaste storstäderna i tre lager: landskap, gator och alla byggnader! Byggnaderna placeras ut i kronologisk ordning vilket gör att du får dig en rejäl dos arkitekturhistoria på köpet!",395,2,0,Hobby,0,0,0,0,1,0,0,1,0,1,0,0,0.3028823971
http://www.lagerhaus.se/inredning/sojaljus-home-gront-te,81841894.jpg,31,Sojaljus HOME grönt te,"Svensktillverkade sojaljus i vacker presentförpackning med doft av grönt te. Ljusen är tillverkade av en naturlig sojavaxblandning och innehåller premiumdofter, vilket ger en bra doftspridning vid tänd låga.Brinntid cirka 50 timmar.I samma serie finns flera olika dofter. Viktigt! Tänk på att aldrig lämna levande ljus obevakade.",129,1,0,Home,0,0,0,1,0,0,0,0,0,0,0,1,0.5482390475
http://www.prisjakt.nu/produkt.php?p=2964478,2964478.jpg,39,Sennheiser Momentum Wireless,"The Sennheiser Momentum Wireless are a fantastic choice. They have a more straightforward function than the Parrot Zik (read: they don’t need an app to work), better sound than the Samsung Level On, and are built to last you a good long time. Yes, $500 is a lot of money, but for someone who needs an all-in-one headphone, and has the means, the Sennheiser Momentum Wireless may just be the best option currently available.",4290,5,1,Electronics,0,0,1,0,1,0,1,1,0,0,0,1,0.8081272258
http://www.coolstuff.se/Kladvikaren,7d5f9ae74e8435c4ff78cf48b2f74d40.jpg,23,Klädvikaren ,"Vik dina skjortor och tröjor enkelt och snabbt med Klädvikaren. Ett vik till höger, ett vik till vänster och ett vik underifrån - sen är det klart!",99,1,0,Home,0,0,0,1,0,0,0,0,1,0,0,0,0.791605108
https://hittajulklappar.nu/p/sko-lampa/,fewngndvghdksfjewmkldwg.png,15,Sko-lampa,Sko-lampan är en lysande uppfinning för alla som vill synas tydligt ute i mörkret under ambitiösa joggingturer.,195,1,0,Sports,0,1,1,0,0,0,1,0,0,0,0,1,0.5595668803
http://www.lagerhaus.se/inredning/badrum/kroppsvard-valdoft/spakit-signatur,81842063.jpg,33,Spakit SIGNATUR,"Spakit med doft av verbena i exklusiv presentförpackning. Boxen innehåller handkräm 75 ml, kroppslotion 300 ml och doftljus med en brinntid på cirka 25 timmar.",299,2,0,Personal,0,0,0,0,1,0,0,0,0,0,0,1,0.9851373612
http://www.urbanoutfitters.com/urban/catalog/productdetail.jsp?id=36425429&category=GIFT_MUSIC,fejowpfkeopwfkopewgjq.jpeg,49,Crosley X UO Cruiser Briefcase Vinyl Record Player,En riktig trendsetterskivspelare. Portabel som på det glada 60- och 70 talet. Högtalare i locket gör den till en riktig partyhöjare. ,800,3,0,Hobby,0,0,1,0,1,0,0,0,0,1,0,0,0.6496666311
http://www.coolstuff.se/Expanderande-Vattenslang,90321273edd131ca577fb4688820d3d4.jpg,20,Expanderande Vattenslang,"Vattenslangar är bra bökiga, ju. Men inte denna. När den fylls med vatten växer den sig tre gånger så lång, och när den töms krymper den. Dessutom trasslar den sig inte!",299,2,0,Home,0,0,0,1,1,0,0,0,1,0,0,0,0.1608998354
